source_id,citation,url,accessed_date,relevance,status
zalando-go-keyring,"zalando/go-keyring repository.",https://github.com/zalando/go-keyring,2026-04-25,high,reviewed
zalando-releases,"zalando/go-keyring releases.",https://github.com/zalando/go-keyring/releases,2026-04-25,high,reviewed
99designs-keyring,"99designs/keyring repository.",https://github.com/99designs/keyring,2026-04-25,high,reviewed
keybase-go-keychain,"keybase/go-keychain repository.",https://github.com/keybase/go-keychain,2026-04-25,medium,reviewed
danieljoos-wincred,"danieljoos/wincred Windows Credential Manager wrapper.",https://github.com/danieljoos/wincred,2026-04-25,medium,reviewed
kernel-keyrings,"Kernel Key Retention Service docs.",https://docs.kernel.org/security/keys/core.html,2026-04-25,high,reviewed
keyrings-man,"keyrings(7) man page.",https://www.man7.org/linux/man-pages/man7/keyrings.7.html,2026-04-25,high,reviewed
cloudflare-keyctl,"Cloudflare blog. The Linux kernel key retention service.",https://blog.cloudflare.com/the-linux-kernel-key-retention-service-and-why-you-should-use-it-in-your-next-application/,2026-04-25,medium,reviewed
secret-service-portal,"XDG Desktop Portal — Secret.",https://flatpak.github.io/xdg-desktop-portal/docs/doc-org.freedesktop.portal.Secret.html,2026-04-25,high,reviewed
xdg-portal-repo,"flatpak/xdg-desktop-portal.",https://github.com/flatpak/xdg-desktop-portal,2026-04-25,high,reviewed
snap-portals,"Snapcraft. XDG portals docs.",https://snapcraft.io/docs/xdg-desktop-portals,2026-04-25,high,reviewed
aws-sdk-go-v2-kms,"AWS SDK for Go v2 KMS package.",https://pkg.go.dev/github.com/aws/aws-sdk-go-v2/service/kms,2026-04-25,high,reviewed
aws-encryption-sdk-go,"AWS Encryption SDK for Go.",https://docs.aws.amazon.com/encryption-sdk/latest/developer-guide/go.html,2026-04-25,high,reviewed
azure-keyvault-whats-new,"Azure Key Vault what's new.",https://learn.microsoft.com/en-us/azure/key-vault/general/whats-new,2026-04-25,medium,reviewed
gcp-kms-docs,"Google Cloud KMS docs.",https://docs.cloud.google.com/kms/docs,2026-04-25,medium,reviewed
go-piv,"go-piv/piv-go repository.",https://github.com/go-piv/piv-go,2026-04-25,high,reviewed
cunicu-go-piv,"cunicu/go-piv pure-Go PIV alternative.",https://github.com/cunicu/go-piv,2026-04-25,medium,reviewed
miekg-pkcs11,"miekg/pkcs11 repository.",https://github.com/miekg/pkcs11,2026-04-25,medium,reviewed
thalesgroup-crypto11,"ThalesGroup/crypto11 PKCS#11 crypto.Signer adapters.",https://github.com/ThalesGroup/crypto11,2026-04-25,medium,reviewed
memguard,"awnumar/memguard secure memory enclaves.",https://github.com/awnumar/memguard,2026-04-25,high,reviewed
runtime-secret-pkg,"Go runtime/secret experimental package.",https://pkg.go.dev/runtime/secret,2026-04-25,high,reviewed
runtime-secret-design,"Go feature: Secret mode.",https://antonz.org/accepted/runtime-secret/,2026-04-25,medium,reviewed
go-issue-21865,"Go issue 21865 runtime/secret proposal.",https://github.com/golang/go/issues/21865,2026-04-25,medium,reviewed
go-issue-18645,"Go issue 18645 wipe sensitive data.",https://github.com/golang/go/issues/18645,2026-04-25,high,reviewed
gocloud-secrets,"Go CDK secrets howto.",https://gocloud.dev/howto/secrets/,2026-04-25,medium,reviewed
