# Evidence Log: Track all research findings with citations
#
# Column Definitions:
# - timestamp: When evidence was collected (ISO format: YYYY-MM-DDTHH:MM:SS)
# - source_type: journal | conference | book | web | preprint
# - citation: Full citation (BibTeX, APA, or Simple format)
# - key_finding: Main takeaway from this source (1-2 sentences)
# - confidence: high | medium | low (based on source quality and clarity)
# - notes: Additional context, caveats, or methodological notes
timestamp,source_type,citation,key_finding,confidence,notes
2026-04-25T02:38:00,web,"Agent Client Protocol — Overview. agentclientprotocol.com, accessed 2026-04-25.",Anthropic's ACP is a client-to-agent (editor-to-agent) protocol using JSON-RPC 2.0; it is not an agent-to-agent orchestration protocol and has no Go SDK.,high,Primary source. Documented methods (initialize/authenticate/session.*/fs.*/terminal.*) confirm client-to-agent scope.
2026-04-25T02:38:00,web,"A2A Protocol Homepage (v1). a2a-protocol.org/latest/, accessed 2026-04-25.",A2A is JSON-RPC 2.0 over HTTP(S) with sync/SSE streaming/async push; core concepts are Agent Cards (optionally signed) Tasks Messages and Skills; IBM's ACP was incorporated into A2A; A2A is positioned as complementary to MCP.,high,Primary source from the official A2A documentation site.
2026-04-25T02:38:00,web,"Agent2Agent Protocol (A2A) Repository README. github.com/a2aproject/A2A, accessed 2026-04-25.",A2A v1.0.0 released 2026-03-12 with official SDKs for Python Go JS Java and .NET; authorization scheme embedded in AgentCard is on the roadmap.,high,Primary source. Confirms Go SDK availability at github.com/a2aproject/a2a-go.
2026-04-25T02:38:00,web,"A2A Protocol and its Relationship to MCP. a2a-protocol.org/latest/, accessed 2026-04-25.","A2A is described as the 'public internet' allowing agents including those using MCP to interoperate; Cisco's agntcy framework leverages both.",high,Direct quote from the official A2A homepage; confirms complementary positioning.
2026-04-25T02:38:00,web,"Linux Foundation: Linux Foundation Launches the Agent2Agent Protocol Project. linuxfoundation.org/press/, June 2025.",Linux Foundation formed the A2A project with AWS Cisco Google Microsoft Salesforce SAP and ServiceNow at Open Source Summit North America 2025.,high,Authoritative press release confirming governance transfer.
2026-04-25T02:38:00,web,"Agent Client Protocol GitHub Repository. github.com/agentclientprotocol/agent-client-protocol, accessed 2026-04-25.",Anthropic ACP latest release v0.12.2 on 2026-04-23; SDKs for Kotlin Java Python Rust TypeScript; no official Go SDK; adopters include Claude Code Gemini CLI Codex CLI Zed.,high,Primary source. Repository stats: 2.9k stars 1240 commits 41 releases.
2026-04-25T02:38:00,web,"A2A Protocol Release v1.0.0. github.com/a2aproject/A2A/releases/tag/v1.0.0, 2026-03-12.",A2A v1.0 turns the spec into production-grade with Signed Agent Cards; AP2 ships as a formal extension.,high,Release tag confirms v1.0 date and Signed Agent Cards as a v1 feature.
2026-04-25T02:38:00,web,"ACP Joins Forces with A2A — LF AI and Data Community Blog. lfaidata.foundation/communityblog/2025/08/29/acp-joins-forces-with-a2a-under-the-linux-foundations-lf-ai-data/, 2025-08-29.",IBM ACP merged with A2A under the Linux Foundation AI and Data umbrella in August 2025; BeeAI platform now uses A2A.,high,Authoritative governance-level announcement of the merger.
2026-04-25T02:38:00,web,"Multi-agent — Docs by LangChain. docs.langchain.com/oss/python/langchain/multi-agent, accessed 2026-04-25.",LangGraph multi-agent handoffs use Command objects returned from handoff tools; MCP integration is supported for tool communication; no native A2A support is documented inside LangGraph itself.,medium,Primary source for LangGraph's own model; A2A bridging happens at process boundaries and is out of LangGraph's scope.
2026-04-25T02:38:00,web,"MCP vs A2A vs ACP — AI Agent Protocols Compared. bonjoy.com/articles/mcp-vs-a2a-vs-acp-agent-protocols-compared/, accessed 2026-04-25.",MCP connects agents to tools; A2A connects agents to agents; ACP (Anthropic) connects agents to editors — three complementary protocols solving different layers.,medium,Secondary analysis but matches primary-source positioning; used for positioning confirmation not primary claims.
