source_id,citation,url,accessed_date,relevance,status
opa-integration,"OPA — Integrating OPA.",https://www.openpolicyagent.org/docs/integration,2026-04-25,high,reviewed
opa-sdk,"OPA SDK package (opa/v1/sdk).",https://pkg.go.dev/github.com/open-policy-agent/opa/v1/sdk,2026-04-25,high,reviewed
opa-wasm,"OPA — WebAssembly.",https://www.openpolicyagent.org/docs/wasm,2026-04-25,high,reviewed
golang-opa-wasm,"golang-opa-wasm SDK.",https://github.com/open-policy-agent/golang-opa-wasm,2026-04-25,medium,reviewed
cedar-go,"cedar-go GitHub.",https://github.com/cedar-policy/cedar-go,2026-04-25,high,reviewed
joffref-cedar,"Joffref/cedar Go binding via WASM.",https://github.com/Joffref/cedar,2026-04-25,medium,reviewed
strongdm-cedar,"StrongDM Cedar Policy Language 2026 Guide.",https://www.strongdm.com/cedar-policy-language,2026-04-25,medium,reviewed
cel-go,"google/cel-go.",https://github.com/google/cel-go,2026-04-25,high,reviewed
cel-dev,"cel.dev.",https://cel.dev/,2026-04-25,high,reviewed
k8s-validating-admission,"Kubernetes Validating Admission Policy.",https://kubernetes.io/docs/reference/access-authn-authz/validating-admission-policy/,2026-04-25,high,reviewed
k8s-cel,"Kubernetes CEL in Kubernetes.",https://kubernetes.io/docs/reference/using-api/cel/,2026-04-25,medium,reviewed
teleport-policy-bench,"Teleport Benchmarking Authorization Policy Engines.",https://goteleport.com/blog/benchmarking-policy-languages/,2026-04-25,medium,reviewed
aserto-topaz,"aserto-dev/topaz.",https://github.com/aserto-dev/topaz,2026-04-25,medium,reviewed
tailscale-acls,"Tailscale Manage permissions using ACLs.",https://tailscale.com/docs/features/access-control/acls,2026-04-25,medium,reviewed
tailscale-grants-vs-acls,"Tailscale Grants vs ACLs.",https://tailscale.com/docs/reference/grants-vs-acls,2026-04-25,high,reviewed
tailscale-acl-grants-blog,"Tailscale ACL Grants blog.",https://tailscale.com/blog/acl-grants,2026-04-25,high,reviewed
aws-scps,"AWS Service Control Policies.",https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html,2026-04-25,high,reviewed
aws-scps-evaluation,"AWS SCP evaluation.",https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps_evaluation.html,2026-04-25,high,reviewed
vault-policies,"HashiCorp Vault Policies.",https://developer.hashicorp.com/vault/docs/concepts/policies,2026-04-25,high,reviewed
pipeten-vault-policies,"Pipeten Vault policy precedence.",https://www.pipeten.com/insights/behind-the-vault-policies-permissions-and-precedence/,2026-04-25,medium,reviewed
secureframe-soc2,"Secureframe SOC 2 Compliance Requirements.",https://secureframe.com/hub/soc-2/requirements,2026-04-25,high,reviewed
sprinto-soc2,"Sprinto SOC 2 Requirements 2026.",https://sprinto.com/blog/soc-2-requirements/,2026-04-25,medium,reviewed
brightdefense-soc2,"BrightDefense SOC 2 Controls List 2026.",https://www.brightdefense.com/resources/soc-2-controls-list/,2026-04-25,medium,reviewed
hoop-immutability,"Hoop.dev Immutability for SOC 2.",https://hoop.dev/blog/immutability-for-soc-2-how-to-protect-evidence-logs-and-records-permanently/,2026-04-25,high,reviewed
konfirmity-retention,"Konfirmity SOC 2 Data Retention Guide 2026.",https://www.konfirmity.com/blog/soc-2-data-retention-guide,2026-04-25,high,reviewed
