id,date,question,evidence,confidence,decision_or_followup,source_id
E001,2026-04-25,Which Go MCP SDKs apply to the server side?,"Same SDK landscape as the client mission — mark3labs/mcp-go primary; an official MCP org Go SDK has been incubated. Server-side bring-up patterns are similar.",medium,Hand-roll the server too; reuse JSON-RPC framing from the client mission.,S001
E002,2026-04-25,Is JSON-RPC framing reusable across client + server?,"Yes — JSON-RPC 2.0 framing is symmetric. Only the directionality of who-issues-which method differs.",high,Reuse core/mcp/client/jsonrpc/ in this mission OR refactor to core/mcp/jsonrpc/ during this mission's WP02.,S002
E003,2026-04-25,Is stdlib net/http sufficient for streamable-HTTP server?,"Yes — http.Server with one handler at / suffices. Content-type discrimination on response (application/json vs text/event-stream) covers single + streaming responses.",high,Use stdlib net/http; no third-party HTTP library.,S003
E004,2026-04-25,How does stdio mode prevent stdout corruption?,"Internal logging MUST route to stderr or the event log; the harness MUST refuse to start in stdio mode if stdout is unsuitable (TTY with colorization, buffered). The MCP spec allocates stderr as out-of-band.",high,Add startup gate; route all logging away from stdout.,S002
E005,2026-04-25,How is server-side cancellation propagated?,"Client sends notifications/cancelled with the request id; server cancels the corresponding handler context.",high,Per-handler context.WithCancel; the dispatch table tracks cancel funcs by request id.,S002
E006,2026-04-25,How is sampling routed server-side?,"Two models: (a) server uses its own LLM for sampling, (b) server requests sampling/createMessage from the client and the client owns the LLM. The MCP spec describes (b) as the canonical pattern.",medium,"Plan resolves toward (a) — internal LLM under bundle profile — to match spec FR-009 and OQ-3 default. Tools that prefer (b) can issue regular sampling requests over the session.",S002
E007,2026-04-25,How does graceful shutdown work?,"http.Server.Shutdown stops accepting new connections and waits for in-flight handlers; configurable drain timeout; force-close after.",high,Wire into core.Core.Shutdown; default drain 30 s.,S003
E008,2026-04-25,Origin/CORS controls?,"http.Request.Header.Get(Origin) checked against configurable allowlist; rejected requests get HTTP 403 and an audit event.",high,Implement in middleware; default allowlist localhost-only.,S002
E009,2026-04-25,Bearer-token auth?,"Authorization: Bearer <token> header; server resolves expected token via core/secrets at start; constant-time compare on each request.",high,Required when bound to non-loopback; optional otherwise.,S002
E010,2026-04-25,How are bundle-published prompts/resources sourced?,"Active bundle resolver exposes Prompts() and Resources() per resolved bundle; server queries at request time (no caching since bundles may reload).",high,Server holds a bundle.Resolver reference; queries on each list/read.,S007
E011,2026-04-25,Is replay determinism different for inbound MCP?,"Yes — tools have side effects (run_bundle mutates). Replay records inbound entries as observations; does NOT re-execute tools.",high,Audit emits sufficient context for replay reconstruction; no auto-replay-execution layer.,S004
E012,2026-04-25,Are there known credential leak shapes in tool results?,"Same patterns as MCP-client mission. Tool implementations should not return credential bytes; defense-in-depth redaction in the event-log pipeline.",high,Reuse core/event redaction pipeline.,S004
E013,2026-04-25,Day-one tool catalog scope?,"FR-018 specifies five harness-native tools: run_bundle, list_bundles, query_event_log, list_sessions, list_provider_profiles. Mix of read-only and one mutator.",medium,"Ship the five; trim during WP planning if any turns out to be operationally unsafe to expose by default.",charter
