id,date,question,evidence,confidence,decision_or_followup,source_id
E001,2026-04-25,Which Go MCP SDKs exist?,"mark3labs/mcp-go is the most prominent community SDK; an official MCP org Go SDK has been incubated alongside Python+Typescript SDKs but its 2026 stability is unverified by this research pass.",medium,Hand-roll a minimal client; isolate JSON-RPC layer to allow swapping later.,S001
E002,2026-04-25,Is JSON-RPC 2.0 the wire format for MCP?,"Yes — the MCP protocol is JSON-RPC 2.0 with namespaced methods (initialize, tools/list, tools/call, prompts/*, resources/*, sampling/*, roots/*).",high,Implement JSON-RPC frame types in core/mcp/client/jsonrpc/.,S002
E003,2026-04-25,Does streamable-HTTP replace HTTP+SSE?,"Yes — streamable-HTTP was introduced in 2025 as the modern remote MCP transport, single-endpoint, with optional SSE-style streaming responses. HTTP+SSE remains for backwards compat with older servers.",high,Ship both transports day-one; new servers prefer streamable-HTTP.,S002
E004,2026-04-25,Can Go stdlib net/http implement streamable-HTTP?,"Yes — POST request with content-type detection on response (application/json vs text/event-stream) is a stdlib-only pattern.",high,No third-party HTTP library required for transport.,S003
E005,2026-04-25,How is stdio framing defined?,"Newline-delimited JSON objects on stdout/stdin; stderr is an out-of-band log channel. bufio.Scanner with a large buffer handles the framing.",high,Use bufio.Scanner with 16 MiB buffer; tee stderr into the audit log.,S002
E006,2026-04-25,How does MCP version negotiation work?,"Client and server each advertise highest supported version (date string); negotiated version is the lower of the two; mismatch fails handshake.",high,Implement negotiation in connection.initialize().,S002
E007,2026-04-25,Does the MCP spec define server-side push mechanics besides notifications?,"Servers may issue requests back to the client (sampling/createMessage, roots/list); the client must handle bidirectional JSON-RPC.",high,Connection layer handles inbound requests routed to handlers (sampling -> LLM connector, roots -> bundle).,S002
E008,2026-04-25,Does streamable-HTTP support session resumption?,"Yes — Last-Event-ID header allows reconnect-with-resume; resumability is OPTIONAL for v1.",medium,Skip resumability in v1; surface drops as transient errors.,S002
E009,2026-04-25,Where do tool result schemas live?,"Each tool advertises its inputSchema (JSON Schema) at tools/list time; the result is opaque content (text/image/resource blocks).",high,Validate inputSchema before tools/call; pass result blocks through unchanged.,S002
E010,2026-04-25,How should the client handle large tool results?,"Server may return very large content blocks; spec does not cap size. The harness imposes its own per-server limit (max_result_bytes).",high,Configurable max_result_bytes in ServerSpec; ErrResultTooLarge typed error when exceeded.,charter
E011,2026-04-25,How do replay tests avoid network calls?,"Recorded JSON-RPC traffic in event log can be replayed by intercepting the Pool's Send/Recv with a fixture transport.",high,Pool constructor flag (replay: true) swaps the transport implementation.,S002
E012,2026-04-25,Are there known MCP credential leak shapes?,"Tool input/result payloads MAY contain agent-generated text matching credential patterns (sk-ant-*, sk-*, AWS V4 signatures). Defense-in-depth redaction is required.",high,Reuse core/event redaction pipeline; co-evolve patterns with mcp-server mission.,S004
