timestamp,source_type,citation,key_finding,confidence,notes
2026-04-25T03:10:00,web,"zalando/go-keyring repository. github.com/zalando/go-keyring, accessed 2026-04-25.",Active cross-platform Go keychain library; simple Set/Get/Delete; pure-Go on Windows/Linux; no CGo. Latest release v0.2.8 (2026-03-23).,high,Primary source for D1.
2026-04-25T03:10:00,web,"zalando/go-keyring releases. github.com/zalando/go-keyring/releases, accessed 2026-04-25.",v0.2.8 released 2026-03-23 confirms active maintenance.,high,Maintenance-state evidence.
2026-04-25T03:10:00,web,"99designs/keyring repository. github.com/99designs/keyring, accessed 2026-04-25.",Multiple-backend abstraction (macOS Windows Secret Service KWallet Pass KeyCtl encrypted JWT file). Last release v1.2.2 (2022-12-19); upstream stale.,high,Drove decision against this library as primary path.
2026-04-25T03:10:00,web,"XDG Desktop Portal — Secret. flatpak.github.io/xdg-desktop-portal/docs/doc-org.freedesktop.portal.Secret.html, accessed 2026-04-25.",Sandboxed apps must access secret storage via org.freedesktop.portal.Secret; portal returns a per-app master secret usable to encrypt a local store.,high,Authoritative basis for D2 second tier.
2026-04-25T03:10:00,web,"flatpak/xdg-desktop-portal repository. github.com/flatpak/xdg-desktop-portal, accessed 2026-04-25.",Implementation of XDG portals; PR 359 confirms Secret portal availability.,high,Corroborates portal availability.
2026-04-25T03:10:00,web,"Snapcraft. XDG Desktop Portals docs. snapcraft.io/docs/xdg-desktop-portals, accessed 2026-04-25.",Snap parity for XDG portal access including Secret.,high,Confirms Snap path through portals.
2026-04-25T03:10:00,web,"Linux kernel docs. Kernel Key Retention Service. docs.kernel.org/security/keys/core.html, accessed 2026-04-25.",keyctl semantics; keys tied to session/process lifetimes; persistent_keyring requires extra setup.,high,Basis for D3.
2026-04-25T03:10:00,web,"Cloudflare blog. The Linux kernel key retention service. blog.cloudflare.com, accessed 2026-04-25.",Discussion of desktop-suitability for keyctl; appropriate as in-process intermediate cache only.,medium,Independent corroboration of D3.
2026-04-25T03:10:00,web,"AWS SDK for Go v2 KMS package. pkg.go.dev/github.com/aws/aws-sdk-go-v2/service/kms, accessed 2026-04-25.",Mature Go v2 KMS client; SDK v1 EOL announced.,high,Basis for D4.
2026-04-25T03:10:00,web,"AWS Encryption SDK for Go. docs.aws.amazon.com/encryption-sdk/latest/developer-guide/go.html, accessed 2026-04-25.",Higher-level envelope encryption with caching/commitment for Go 1.23+.,high,Recommended over hand-rolled envelope encryption.
2026-04-25T03:10:00,web,"go-piv/piv-go repository. github.com/go-piv/piv-go, accessed 2026-04-25.",v2.6.0 (2026-04-15) actively maintained; pure Go (re-implements over OS PC/SC); macOS / Windows / Linux+BSD.,high,Basis for D5.
2026-04-25T03:10:00,web,"cunicu/go-piv repository. github.com/cunicu/go-piv, accessed 2026-04-25.",Newer pure-Go PIV alternative; worth tracking.,medium,Optional second source for PIV.
2026-04-25T03:10:00,web,"awnumar/memguard repository. github.com/awnumar/memguard, accessed 2026-04-25.",v0.23.0 (Aug 2025); mlock'd LockedBuffers, guard pages + canaries, XSalsa20-Poly1305 encryption-at-rest in memory; cross-platform.,high,Basis for D6 opt-in hardening.
2026-04-25T03:10:00,web,"Go runtime/secret experimental package. pkg.go.dev/runtime/secret, accessed 2026-04-25.",Go 1.26 experimental: zeroes registers/stack on Do() return; Linux amd64/arm64 only behind GOEXPERIMENT.,high,Drove decision NOT to commit to runtime/secret in v1.
2026-04-25T03:10:00,web,"Go issue 18645. github.com/golang/go/issues/18645, accessed 2026-04-25.",Long-standing discussion of zeroing-sensitive-data in Go; community-blessed pattern is explicit zeroing + runtime.KeepAlive.,high,Basis for D6 stdlib baseline.
2026-04-25T03:10:00,web,"miekg/pkcs11 repository. github.com/miekg/pkcs11, accessed 2026-04-25.",Sustainably maintained PKCS#11 wrapper; latest release Jan 22 2026; CGo + vendor module quirks.,high,Reason to defer PKCS#11 to v2.
2026-04-25T03:10:00,web,"ThalesGroup/crypto11 repository. github.com/ThalesGroup/crypto11, accessed 2026-04-25.",Provides crypto.Signer / crypto.Decrypter adapters over PKCS#11.,high,Recommended pairing for v2 PKCS#11 work.
2026-04-25T03:10:00,web,"Go Cloud Development Kit secrets. gocloud.dev/howto/secrets/, accessed 2026-04-25.",Abstraction over multiple cloud KMS providers; useful prior art for our backend interface.,medium,Reference for backend-abstraction design.
