timestamp,source_type,citation,key_finding,confidence,notes
2026-04-25T03:20:00,web,"OPA — Integrating OPA. openpolicyagent.org/docs/integration, accessed 2026-04-25.",OPA's Go library evaluates inline in the harness process; no sidecar required. The 'OPA needs a sidecar' reflex is about its server mode not the embeddable rego package.,high,Authoritative; primary source for D1 embedding choice.
2026-04-25T03:20:00,web,"OPA SDK package opa/v1/sdk. pkg.go.dev/github.com/open-policy-agent/opa/v1/sdk, accessed 2026-04-25.",Current Go embed API for OPA; active 2026 releases.,high,Confirms maturity for D1.
2026-04-25T03:20:00,web,"OPA — WebAssembly. openpolicyagent.org/docs/wasm, accessed 2026-04-25.",OPA can compile Rego to WASM for in-process evaluation.,high,Optional embed path noted in research.
2026-04-25T03:20:00,web,"golang-opa-wasm SDK. github.com/open-policy-agent/golang-opa-wasm, accessed 2026-04-25.",Go runtime for OPA WASM bundles; useful for policies authored elsewhere without recompiling the harness.,medium,Forward-looking option.
2026-04-25T03:20:00,web,"cedar-go GitHub. github.com/cedar-policy/cedar-go, accessed 2026-04-25.",cedar-go v1.6.0 (Mar 2026) lacks policy templates partial evaluation formatter and full schema validator; pure Go (no CGo).,high,Direct rationale for D2 (Cedar deferred).
2026-04-25T03:20:00,web,"Joffref/cedar Go binding via WASM. github.com/Joffref/cedar, accessed 2026-04-25.",Alternate near-zero-overhead Cedar embed via WASM.,medium,Tracked for v2 reassessment.
2026-04-25T03:20:00,web,"StrongDM. Cedar Policy Language 2026 Guide. strongdm.com/cedar-policy-language, accessed 2026-04-25.",Cedar maturity overview; strong ergonomics; AWS-shop recognition skewed.,medium,Independent corroboration.
2026-04-25T03:20:00,web,"google/cel-go. github.com/google/cel-go, accessed 2026-04-25.",CEL Go runtime; embedding bloats Go binaries; recommended cel.ClearMacros() at env construction.,high,Basis for D4 footprint guidance.
2026-04-25T03:20:00,web,"cel.dev. cel.dev, accessed 2026-04-25.",CEL design rationale; ns-microsecond evaluation; non-Turing-complete; designed for embedding.,high,Confirms CEL fit for field-level predicates.
2026-04-25T03:20:00,web,"Kubernetes — Validating Admission Policy. kubernetes.io/docs/reference/access-authn-authz/validating-admission-policy/, accessed 2026-04-25.",CEL-as-admission canonical use; embedding model.,high,Production validation that CEL embeds well.
2026-04-25T03:20:00,web,"Hoop.dev. Immutability for SOC 2. hoop.dev/blog/immutability-for-soc-2-how-to-protect-evidence-logs-and-records-permanently/, accessed 2026-04-25.",WORM/hash-chain/retention norms for SOC 2 audit logs.,high,Basis for D6 audit-log shape.
2026-04-25T03:20:00,web,"Konfirmity. SOC 2 Data Retention Guide 2026. konfirmity.com/blog/soc-2-data-retention-guide, accessed 2026-04-25.",1-year floor; 5-7 year ceilings by sector for SOC 2 evidence retention.,high,Basis for D7 retention floor.
2026-04-25T03:20:00,web,"Secureframe. SOC 2 Compliance Requirements. secureframe.com/hub/soc-2/requirements, accessed 2026-04-25.",Trust Services Criteria are engine-agnostic; auditors accept any documented engine with audit logs.,high,Confirms engine choice is operational not regulatory.
2026-04-25T03:20:00,web,"Sprinto. SOC 2 Requirements 2026. sprinto.com/blog/soc-2-requirements/, accessed 2026-04-25.",Current-year SOC 2 expectations; named open-source engine cuts auditor friction.,medium,Independent corroboration.
2026-04-25T03:20:00,web,"AWS — Service Control Policies. docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html, accessed 2026-04-25.",Strict narrowing across OU tree; explicit Allow at every level required; deny anywhere wins.,high,Direct prior art for D8 strict-narrowing.
2026-04-25T03:20:00,web,"Tailscale — ACL Grants blog. tailscale.com/blog/acl-grants, accessed 2026-04-25.",Tailscale migrating from ACLs to Grants because original syntax did not compose well across application-layer concerns.,high,Lesson supporting D8 (bake compose in from day one).
2026-04-25T03:20:00,web,"HashiCorp Vault — Policies. developer.hashicorp.com/vault/docs/concepts/policies, accessed 2026-04-25.",Path-based longest-prefix wins; no accumulation across path tree; opposite of SCP.,high,Drives lesson: pick one accumulation model and stay there.
2026-04-25T03:20:00,web,"Teleport — Benchmarking Authorization Policy Engines. goteleport.com/blog/benchmarking-policy-languages/, accessed 2026-04-25.",Cedar 28-80x faster than Rego on ABAC microbenchmarks; engines solve different problems.,medium,Performance context; relevant only if Rego becomes a hot-path bottleneck.
2026-04-25T03:20:00,web,"AWS — SCP evaluation. docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps_evaluation.html, accessed 2026-04-25.",Explicit-Allow-at-every-level rule for SCPs; primary source of #1 ticket volume in SCP shops.,high,Drives D8 explainer surface.
