timestamp,source_type,citation,key_finding,confidence,notes
2026-04-25T03:30:00,web,"oras-project/oras GitHub. github.com/oras-project/oras, accessed 2026-04-25.",ORAS CLI repo and project umbrella; canonical entry point for non-image OCI artifact distribution.,medium,Subagent WebFetch was denied; relying on WebSearch summary. Re-verify before locking design.
2026-04-25T03:30:00,web,"oras.land/oras-go v2. pkg.go.dev/oras.land/oras-go/v2, accessed 2026-04-25.",Production Go client API surface; supports unified push/pull/copy across remote registries OCI layouts in-memory stores filesystems; v1 is legacy.,medium,Subagent WebFetch denied; verify primary source.
2026-04-25T03:30:00,web,"sigstore/cosign GitHub. github.com/sigstore/cosign, accessed 2026-04-25.",Reference signing CLI; uses OCI 1.1 referrer model where signatures are artifacts whose subject points at the signed thing.,medium,Subagent WebFetch denied.
2026-04-25T03:30:00,web,"OCI Image and Distribution Specs v1.1 announcement. opencontainers.org/posts/blog/2024-03-13-image-and-distribution-1-1/, accessed 2026-04-25.",Distribution-Spec v1.1 (released 2024) adds subject field on manifests and /v2/<name>/referrers/<digest> endpoint; how non-image artifacts attach without tag-naming hacks.,medium,Subagent WebFetch denied; primary spec.
2026-04-25T03:30:00,web,"ORAS attached artifacts docs. oras.land/docs/concepts/reftypes/, accessed 2026-04-25.",Referrers fallback mechanism — if registry lacks Referrers API ORAS automatically falls back to tag-based referrers list.,medium,Subagent WebFetch denied.
2026-04-25T03:30:00,web,"Lockfile Format Design and Tradeoffs by Andrew Nesbitt. nesbitt.io/2026/01/17/lockfile-format-design-and-tradeoffs.html, accessed 2026-04-25.",Comparative analysis of lockfile formats; Cargo flat array-of-tables is the gold standard for diff stability; nested structures cause false merge conflicts.,medium,Independent analysis; subagent WebFetch denied.
2026-04-25T03:30:00,web,"uv project structure docs. docs.astral.sh/uv/concepts/projects/layout/, accessed 2026-04-25.",uv.lock is universal/cross-platform — captures all valid resolutions across OS arch Python markers in one file; Python now has tool-agnostic pylock.toml.,medium,Subagent WebFetch denied.
2026-04-25T03:30:00,web,"Switching Manifests to KDL — alicecaml.org/blog/switching-manifests-to-kdl/, accessed 2026-04-25.",KDL is node-based and gaining small-scale adoption; ecosystem is tiny.,medium,Used to argue against KDL for v1.
2026-04-25T03:30:00,web,"oras-go credentials package. pkg.go.dev/oras.land/oras-go/v2/registry/remote/credentials, accessed 2026-04-25.",Auth integration with docker-credential-helpers; reads ~/.docker/config.json; integrates with macOS Keychain Windows Credential Manager pass on Linux.,medium,Subagent WebFetch denied; key claim for D2.
2026-04-25T03:30:00,web,"Choosing a hash function for 2030 — kerkour.com/fast-secure-hash-function-sha256-sha512-sha3-blake3, accessed 2026-04-25.",SHA-256 vs BLAKE3 tradeoffs; BLAKE3 4-10x faster but perf gap irrelevant at typical bundle sizes; SHA-256 mandatory because all OCI registries use it.,medium,Subagent WebFetch denied.
2026-04-25T03:30:00,web,"SLSA v1.2 spec. slsa.dev/spec/v1.2/, accessed 2026-04-25.",Current build-track levels and requirements; v1.2 RC2 released for review November 2025.,medium,Subagent WebFetch denied.
2026-04-25T03:30:00,web,"Helm OCI registries doc. helm.sh/docs/topics/registries/, accessed 2026-04-25.",Canonical non-image OCI adoption pattern; helm registry login writes to docker config — the de-facto UX.,medium,Subagent WebFetch denied; basis for D9.
2026-04-25T03:30:00,web,"sigstore/sigstore-go GitHub. github.com/sigstore/sigstore-go, accessed 2026-04-25.",Recommended Go SDK for embedding Sigstore; stable minimal-dependency; passes sigstore-conformance suite; Cosign being refactored to depend on it.,medium,Subagent WebFetch denied; key claim for D4.
2026-04-25T03:30:00,web,"Cargo Dependency Resolution. doc.rust-lang.org/cargo/reference/resolver.html, accessed 2026-04-25.",Cargo.lock structure: flat [[package]] array-of-tables schema version field single-line checksum; transitive deps don't cause cascade rewrites.,medium,Subagent WebFetch denied; basis for D6 lockfile shape.
2026-04-25T03:30:00,web,"Go Modules Reference. go.dev/ref/mod, accessed 2026-04-25.",go.sum hash format; line-based hash records; Go Checksum Database (sum.golang.org); separation of go.mod (what I want) from go.sum (what I got).,medium,Subagent WebFetch denied; supports D6 design.
2026-04-25T03:30:00,web,"pnpm git-branch-lockfiles. pnpm.io/git_branch_lockfiles, accessed 2026-04-25.",Merge-conflict-avoidance UX for lockfiles.,medium,Basis for D8 (--resolve-conflicts subcommand).
2026-04-25T03:30:00,web,"SLSA software attestations. slsa.dev/attestation-model, accessed 2026-04-25.",in-toto attestation integration; SLSA Provenance is one predicate type; in-toto v1 broadly adopted by SLSA GitHub attest-build-provenance GitLab signing.,medium,Subagent WebFetch denied.
2026-04-25T03:30:00,web,"Best SSH Key Type in 2026. blog.opssquad.ai/blog/best-ssh-key-type, accessed 2026-04-25.",Ed25519 default rationale: deterministic no RNG-failure class faster smaller signatures.,medium,Subagent WebFetch denied; supports D4 fallback.
2026-04-25T03:30:00,web,"The YAML document from hell. ruudvanasseldonk.com/2023/01/11/the-yaml-document-from-hell, accessed 2026-04-25.",Comprehensive YAML foot-gun catalog: Norway problem indentation Inf/NaN sexagesimal numbers anchor abuse.,medium,Subagent WebFetch denied; basis for D1 mitigations.
