# Source Register: Master list of all research sources
#
# Column Definitions:
# - source_id: Unique identifier (lowercase, no spaces)
# - citation: Full citation (simple format used here)
# - url: Direct link to source
# - accessed_date: Date source was accessed (YYYY-MM-DD)
# - relevance: high | medium | low (to primary research question)
# - status: reviewed | pending | archived
source_id,citation,url,accessed_date,relevance,status
anthropic-acp-overview,"Agent Client Protocol — Overview. agentclientprotocol.com.",https://agentclientprotocol.com/protocol/overview,2026-04-25,high,reviewed
anthropic-acp-github,"Agent Client Protocol Repository. github.com/agentclientprotocol/agent-client-protocol.",https://github.com/agentclientprotocol/agent-client-protocol,2026-04-25,high,reviewed
a2a-v1-home,"A2A Protocol Homepage (v1). a2a-protocol.org/latest/.",https://a2a-protocol.org/latest/,2026-04-25,high,reviewed
a2a-v1-release,"A2A v1.0.0 Release. github.com/a2aproject/A2A.",https://github.com/a2aproject/A2A/releases/tag/v1.0.0,2026-04-25,high,reviewed
a2a-github-readme,"Agent2Agent Protocol Repository README. github.com/a2aproject/A2A.",https://github.com/a2aproject/A2A,2026-04-25,high,reviewed
a2a-go-sdk,"a2a-go — Official A2A Go SDK. github.com/a2aproject/a2a-go.",https://github.com/a2aproject/a2a-go,2026-04-25,high,pending
a2a-spec,"A2A Protocol Specification. a2a-protocol.org/latest/specification/.",https://a2a-protocol.org/latest/specification/,2026-04-25,high,pending
lf-a2a-press,"Linux Foundation Launches the Agent2Agent Protocol Project. Linux Foundation.",https://www.linuxfoundation.org/press/linux-foundation-launches-the-agent2agent-protocol-project-to-enable-secure-intelligent-communication-between-ai-agents,2026-04-25,high,reviewed
ibm-acp-merged,"ACP Joins Forces with A2A under LF AI and Data. LF AI and Data Community Blog.",https://lfaidata.foundation/communityblog/2025/08/29/acp-joins-forces-with-a2a-under-the-linux-foundations-lf-ai-data/,2026-04-25,high,reviewed
ibm-acp-research,"Agent Communication Protocol (ACP) — IBM Research.",https://research.ibm.com/projects/agent-communication-protocol,2026-04-25,medium,reviewed
langgraph-multiagent,"Multi-agent — LangChain Docs.",https://docs.langchain.com/oss/python/langchain/multi-agent,2026-04-25,medium,reviewed
protocol-comparison-bonjoy,"MCP vs A2A vs ACP — AI Agent Protocol Comparison 2026.",https://bonjoy.com/articles/mcp-vs-a2a-vs-acp-agent-protocols-compared/,2026-04-25,medium,reviewed
google-a2a-donation,"Google Cloud donates A2A to Linux Foundation — Google Developers Blog.",https://developers.googleblog.com/en/google-cloud-donates-a2a-to-linux-foundation/,2026-04-25,medium,reviewed
