# Evidence Log: Track all research findings with citations
#
# Column Definitions:
# - timestamp: When evidence was collected (ISO format: YYYY-MM-DDTHH:MM:SS)
# - source_type: journal | conference | book | web | preprint
# - citation: Full citation
# - key_finding: Main takeaway from this source (1-2 sentences)
# - confidence: high | medium | low (based on source quality and clarity)
# - notes: Additional context, caveats
timestamp,source_type,citation,key_finding,confidence,notes
2026-04-25T03:00:00,web,"Zetetic. SQLCipher Community Edition License. zetetic.net/sqlcipher/license, accessed 2026-04-25.",SQLCipher CE is BSD-3-clause-style and requires reproducing copyright/attribution in user-accessible UI (about/license screen) and documentation; permits OSS and commercial redistribution but adds a compliance surface.,high,Authoritative primary source. Drove decision against SQLCipher as primary path.
2026-04-25T03:00:00,web,"Zetetic. SQLCipher Performance. zetetic.net/sqlcipher/performance, accessed 2026-04-25.",SQLCipher overhead 5-15% read/write per Zetetic's own benchmarks; default 4 KB page + per-page HMAC.,high,Author-published numbers; useful comparison baseline.
2026-04-25T03:00:00,web,"Turso. Fully Open Source Encryption for SQLite. turso.tech/blog/fully-open-source-encryption-for-sqlite-b3858225, accessed 2026-04-25.",libSQL ships fully OSS page-level encryption with SQLCipher-compatible cipher and AES-256 wxSQLite3 cipher; WAL and bottomless backups also encrypted.,high,Authoritative primary source for D1. Apache-2.0/MIT.
2026-04-25T03:00:00,web,"Turso docs. Go SDK reference. docs.turso.tech/sdk/go/reference, accessed 2026-04-25.",go-libsql exposes libsql.WithEncryption(key) and EmbeddedReplica{EncryptionKey}; supports purely-local mode without Turso cloud.,high,Confirms operator-facing API surface for D1.
2026-04-25T03:00:00,web,"Turso. Embedded Replicas Go GA. turso.tech/blog/embedded-replicas-go-ga-with-production-friendly-upgrades, accessed 2026-04-25.",Embedded replicas reached GA in 2024-2025 with encryption-at-rest as a GA feature.,high,Maturity signal for D1.
2026-04-25T03:00:00,web,"Anthropy / asg017. sqlite-vec releases. github.com/asg017/sqlite-vec/releases, accessed 2026-04-25.",sqlite-vec v0.1.9 released 2026-03-31; project is explicitly pre-v1 with breaking-changes warning.,high,Pre-v1 status flagged as a risk in research summary.
2026-04-25T03:00:00,web,"asg017. sqlite-vec stable release blog. alexgarcia.xyz/blog/2024/sqlite-vec-stable-release/, accessed 2026-04-25.",Brute-force KNN production-stable; ANN (DiskANN IVF rescore) experimental; quantization gives 32x storage reduction with ~95% recall.,high,Author-published; perf basis for D2.
2026-04-25T03:00:00,web,"asg017. sqlite-vec Go usage guide. alexgarcia.xyz/sqlite-vec/go.html, accessed 2026-04-25.",100k float vectors at 768d under 75ms; 1536d 105ms; 3072d 214ms; binary-quantized 3072d 11ms.,high,Concrete latency numbers used to set v1 NFR-003 expectations.
2026-04-25T03:00:00,web,"LanceDB. lancedb-go repository. github.com/lancedb/lancedb-go, accessed 2026-04-25.",Apache-2.0 CGo bindings to prebuilt Rust native libs; macOS Linux Windows amd64 and arm64; latest fetched v0.1.2.,high,Early-stage Go bindings flagged as risk; basis for D3 opt-in posture.
2026-04-25T03:00:00,web,"LanceDB. Upstream. github.com/lancedb/lancedb, accessed 2026-04-25.",LanceDB Apache-2.0; Lance columnar file format positioned as portable and version-tolerant.,medium,Format-stability not explicitly guaranteed in fetched README.
2026-04-25T03:00:00,web,"philippgille. chromem-go. github.com/philippgille/chromem-go, accessed 2026-04-25.",Pure-Go embedded vector store zero deps Chroma-compatible API; 100k docs queried in ~40ms on 2020 Intel laptop.,high,Basis for D4 pure-Go escape hatch.
2026-04-25T03:00:00,web,"oven-sh / bun. Issue #25964 — Windows NTFS SQLite WAL close() leaves DB locked. github.com/oven-sh/bun/issues/25964, accessed 2026-04-25.",Pre-3.51 SQLite leaves the main .db file locked on Windows NTFS after close() in multi-process WAL access; fixed in SQLite 3.51.0.,high,Concrete production-bug evidence driving D5 (≥3.51 floor).
2026-04-25T03:00:00,web,"SQLite. Write-Ahead Logging documentation. sqlite.org/wal.html, accessed 2026-04-25.",Authoritative WAL mode semantics; shared-memory wal-index requirement; multi-reader / single-writer concurrency model.,high,Underpins D5 and D6.
2026-04-25T03:00:00,web,"SQLite. How to corrupt your SQLite database. sqlite.org/howtocorrupt.html, accessed 2026-04-25.",WAL is unsafe on networked filesystems (NFS SMB CIFS); locking primitives are buggy; shared-memory wal-index cannot be coordinated across hosts.,high,Authoritative basis for D6 (refuse non-local mounts).
2026-04-25T03:00:00,web,"GoToSocial. SQLite networked storage advanced docs. docs.gotosocial.org/en/latest/advanced/sqlite-networked-storage/, accessed 2026-04-25.",Operator-perspective guidance: do not put SQLite on NFS/SMB/cloud-sync.,medium,Independent corroboration of D6.
